Timestamp,I did reflect on how a design option could impact the stakeholder’s concerns.,(optional) Are there any additional remarks to your answer?,The templates motivated me to document the reasons behind the chosen design options.,(optional) Are there any additional remarks to your answer?,"When addressing a new concern, the templates motivated me to revisit earlier design decisions.",(optional) Are there any additional remarks to your answer?,The game helped me maintain the consistency among the design decisions.,(optional) Are there any additional remarks to your answer?,"To make design decisions, I had to consider trading a quality attribute for another.",(optional) Are there any additional remarks to your answer?,The quality impacts on the concern cards motivated me to explicitly reason about trade-offs in quality.,(optional) Are there any additional remarks to your answer?,"To decide on the best design option, I discussed design ideas with the other players.",(optional) Are there any additional remarks to your answer?,The use of the decision preparation template gave me an opportunity to contribute new design ideas.,(optional) Are there any additional remarks to your answer?,The differences (e.g. in experience) between the players led to discussions about different design ideas.,(optional) Are there any additional remarks to your answer?,"During the game, we had to change past decisions.",(optional) Are there any additional remarks to your answer?,"When changing design decisions, I maintained the consistency among design decisions.",(optional) Are there any additional remarks to your answer?,The templates helped me to revisit design decisions to maintain consistency among changed design decisions.,(optional) Are there any additional remarks to your answer?,"As the design progressed, changing a design decision required me to use an increasing amount of time to maintain consistency between design decisions.",(optional) Are there any additional remarks to your answer?,The game was fun.,(optional) Are there any additional remarks to your answer?,The cards were easy to understand.,(optional) Are there any additional remarks to your answer?,The rules were clear.,(optional) Are there any additional remarks to your answer?,The scoring sheet was clear.,(optional) Are there any additional remarks to your answer?,"Did you address all concerns? If yes, how long did it take?",(optional) Are there any additional remarks to your answer?,What is your Game Group-ID?,What master programme are you enrolled in?,Do you have any professional experience as a: [Software Developer],Do you have any professional experience as a: [Software Engineer],Do you have any professional experience as a: [Software Architect],(optional) Are there any additional remarks to your answer?,What did you learn during the game?,Do you have any feedback or suggestions for the game?
11/26/2018 12:06:40,Strongly Agree,,Agree,,Agree,,Neutral,,Agree,,Neutral,,Strongly Agree,,Agree,,Neutral,,Agree,,Neutral,,Neutral,,Agree,,Agree,,Agree,,Agree,,Agree,,We did not address all concerns.,,Queen of hearts,Computer science: software engineering and green it,Yes,Yes,No,,That the communication of the rationale is important for convincing your colleagues. ,No
11/26/2018 12:06:42,Agree,,Agree,,Disagree,,Neutral,,Strongly Agree,,Agree,,Neutral,We always agreed,Agree,,Disagree,,Disagree,,Disagree,We did not change any decisions,Disagree,,Not Applicable (N/A),,Neutral,"There really wasn't enough time, especially given that we had to write down everything by hand.",Agree,,Agree,,Neutral,,We did not address all concerns.,,Queen of Clubs,Computer Science,No,No,No,,"That making design decisions is easy when all options have clear, numerical consequences on quality attributes.","Perhaps you could use more imaginative Concern/Event cards, and give 15 more minutes to allow players to actually think about their decisions."
11/26/2018 12:07:41,Agree,,Agree,,Agree,,Neutral,,Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Neutral,,Agree,,Agree,,Neutral,,Strongly Agree,,Agree,,Neutral,,We did not address all concerns.,,Queen Hearts,Software Engineering and Green IT,Yes,Yes,No,,"That we have to maintain the quality attributes that had a high priority for the stakeholders. We did this by revising the design decisions we made. This resulted in a general architect. Therefore, it can be a good game at the beginning of the design phase.",No
11/26/2018 12:08:45,Strongly Agree,,Neutral,"Because you are already discussing your individual rationale for a certain design option immediately after you picked one, there is no need to really write it down.",Disagree,"Because we only got to play one real round , thus only one event occurring, we didn't really got the chance to revise our previous design decisions and checking if other options would suit the case better.",Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Disagree,,Agree,,Disagree,,Agree,,Neutral,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Queen of Clubs,Computer Science,Yes,Yes,No,,Make a clear reasoning about the trade-off in requirements for each design options,"Maybe give a little bit longer of time, to make the occurrence of event cards more likely."
11/26/2018 12:09:14,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Neutral,,Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Agree,,We did not address all concerns.,We were a group of 3,Kings Diamonds,Computer Science: Software Engineering & Green IT,Yes,Yes,No,,That it is really hard to reach all the quality attributes with many concerns,More time to play
11/26/2018 12:09:55,Agree,,Agree,,Agree,,Neutral,,Not Applicable (N/A),,Strongly Agree,,Strongly Agree,,Neutral,,Neutral,,Strongly Agree,,Neutral,,Neutral,,Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,Queen of hearts,Computer science,No,No,No,,To find a balance between concerns of stakeholders when making a decision.,"Since we were already instructed to study the rules beforehand, start the game right away."
11/26/2018 12:10:21,Agree,I think the priority should be multiplied with the score instead of ignored when summing the final score.,Disagree,There wasn't enough time to think and write and discuss so the writing of my own rationale was placed on a back burner.,Disagree,None of our previous concerns got altered due to the event cards or new concerns.,Disagree,It resulted instead in mix and match plusses and minuses.,Agree,,Agree,,Strongly Agree,This was the most interesting aspect of the game -- the discussion.,Disagree,There wasn't really enough time to make good use of it and resulted more in being thought up during the discussion.,Neutral,There usually weren't many options to meet the priorities so there often also wasn't much discussion.,Agree,When the event cards modified the priorities.,Neutral,,Neutral,"The templates were useful for providing structure to the game, not so much for assisting thought.",Agree,,Agree,,Strongly Agree,,Agree,,Agree,,We did not address all concerns.,,Kings Diamonds,Computer Science (Security),No,No,No,,Discussing decisions and working together to address as many concerns as possible.,Perchance a time extension because currently the game felt so hectic there was little time to reason and/or think for me. I also write slow so perhaps a digital scoring form (e.g. excel sheet) that automatically sums would be really useful.
11/26/2018 12:11:07,Strongly Agree,,Strongly Agree,,Strongly Agree,,Disagree,"Sometimes it's really hard to be consistent, especially when the a new event with unexpected consequences surfaces",Strongly Agree,,Strongly Agree,,Agree,"Discussion important, but sometimes a decision should be made asap if time is running out",Agree,,Neutral,"I believe yes in reality, but not in our case in the game",Agree,Esp when an ugly event unwraps,Neutral,"Sometimes you have to, but sometimes you have to be rationale to accept other better ideas",Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,We did not address all concerns.,We need more time,Kings Diamonds,Computer Science,Yes,Yes,No,"Software engineer and developers don't usually think much about stakeholder concerns, they just do what's asked. So the software architect's role is essential.","The design tradeoffs, hard to satisfy everybody","Game is fun, but we need more time"
11/26/2018 12:11:56,Agree,"Yes, but when the + and - values were already given, we just looked at those.",Agree,,Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Disagree,,Neutral,,Neutral,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,10 cloves,Computer Science: Big Data / Business Analytics,Yes,No,No,,Looking in a more abstract way at design decisions (e.g. with +s and -s),45 minutes instead of 30 would be better. 
11/26/2018 12:13:14,Strongly Agree,,Agree,,Neutral,,Agree,,Agree,,Agree,,Strongly Agree,,Agree,Not all required new options. The solutions had enough coverage over the attributes,Agree,,Not Applicable (N/A),,Not Applicable (N/A),,Neutral,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,We did not address all concerns.,,10 Diamonds,Computer Science,No,No,No,,How to work as a group of architecture designers working in harmony to come out with the best decisions considering all the trade offs. A democratic decision making process for a good architectural schema. ,"Yes
More time required to finish the game. "
